batch_size,scape_aggregate_proof_ms,baseline_proof_ms
1,752.750321144976,20.690194
2,752.7746422899521,41.380388
3,752.798963434928,62.070582
4,752.8232845799041,82.760776
5,752.8476057248802,103.45097000000001
6,752.8719268698562,124.141164
7,752.8962480148323,144.83135800000002
8,752.9205691598082,165.521552
9,752.9448903047843,186.211746
10,752.9692114497603,206.90194000000002
11,752.9935325947364,227.59213400000002
12,753.0178537397125,248.282328
13,753.0421748846884,268.972522
14,753.0664960296644,289.66271600000005
15,753.0908171746405,310.35291
16,753.1151383196166,331.043104
17,753.1394594645926,351.73329800000005
18,753.1637806095686,372.423492
19,753.1881017545446,393.11368600000003
20,753.2124228995207,413.80388000000005
21,753.2367440444967,434.494074
22,753.2610651894728,455.18426800000003
23,753.2853863344487,475.87446200000005
24,753.3097074794248,496.564656
25,753.3340286244008,517.25485
26,753.3583497693769,537.945044
27,753.3826709143528,558.6352380000001
28,753.4069920593289,579.3254320000001
29,753.431313204305,600.015626
30,753.455634349281,620.70582
31,753.4799554942571,641.396014
32,753.504276639233,662.086208
33,753.5285977842091,682.7764020000001
34,753.5529189291851,703.4665960000001
35,753.5772400741612,724.1567900000001
36,753.6015612191372,744.846984
37,753.6258823641132,765.537178
38,753.6502035090892,786.2273720000001
39,753.6745246540653,806.9175660000001
40,753.6988457990414,827.6077600000001
41,753.7231669440174,848.2979540000001
42,753.7474880889934,868.988148
43,753.7718092339694,889.678342
44,753.7961303789455,910.3685360000001
45,753.8204515239215,931.0587300000001
46,753.8447726688976,951.7489240000001
47,753.8690938138735,972.4391180000001
48,753.8934149588496,993.129312
49,753.9177361038256,1013.819506
50,753.9420572488017,1034.5097
51,753.9663783937777,1055.199894
52,753.9906995387537,1075.890088
53,754.0150206837297,1096.5802820000001
54,754.0393418287058,1117.2704760000001
55,754.0636629736819,1137.9606700000002
56,754.0879841186579,1158.6508640000002
57,754.1123052636339,1179.3410580000002
58,754.1366264086099,1200.031252
59,754.160947553586,1220.721446
60,754.185268698562,1241.41164
61,754.2095898435381,1262.101834
62,754.233910988514,1282.792028
63,754.2582321334901,1303.482222
64,754.2825532784661,1324.172416
65,754.3068744234422,1344.8626100000001
66,754.3311955684183,1365.5528040000002
67,754.3555167133942,1386.2429980000002
68,754.3798378583703,1406.9331920000002
69,754.4041590033463,1427.6233860000002
70,754.4284801483224,1448.3135800000002
71,754.4528012932983,1469.003774
72,754.4771224382744,1489.693968
73,754.5014435832504,1510.384162
74,754.5257647282265,1531.074356
75,754.5500858732025,1551.76455
76,754.5744070181785,1572.4547440000001
77,754.5987281631545,1593.1449380000001
78,754.6230493081306,1613.8351320000002
79,754.6473704531066,1634.5253260000002
80,754.6716915980827,1655.2155200000002
81,754.6960127430586,1675.9057140000002
82,754.7203338880347,1696.5959080000002
83,754.7446550330108,1717.2861020000003
84,754.7689761779868,1737.976296
85,754.7932973229629,1758.66649
86,754.8176184679388,1779.356684
87,754.8419396129149,1800.046878
88,754.8662607578909,1820.7370720000001
89,754.890581902867,1841.4272660000001
90,754.914903047843,1862.1174600000002
91,754.939224192819,1882.8076540000002
92,754.963545337795,1903.4978480000002
93,754.9878664827711,1924.1880420000002
94,755.0121876277472,1944.8782360000002
95,755.0365087727232,1965.5684300000003
96,755.0608299176992,1986.258624
97,755.0851510626752,2006.948818
98,755.1094722076513,2027.639012
99,755.1337933526273,2048.3292060000003
100,755.1581144976034,2069.0194
