name,trials,succ_total,fail_total,send_rate_tps_mean,send_rate_tps_sd,send_rate_tps_min,send_rate_tps_max,max_latency_s_mean,max_latency_s_sd,max_latency_s_min,max_latency_s_max,min_latency_s_mean,min_latency_s_sd,min_latency_s_min,min_latency_s_max,avg_latency_s_mean,avg_latency_s_sd,avg_latency_s_min,avg_latency_s_max,throughput_tps_mean,throughput_tps_sd,throughput_tps_min,throughput_tps_max
recordexists-100tx,10,1000,0,113.3700,1.4016,111.1000,115.1000,0.0180,0.0063,0.0100,0.0300,0.0000,0.0000,0.0000,0.0000,0.0090,0.0032,0.0000,0.0100,112.9800,1.4125,110.7000,114.7000
recordexists-500tx,10,5000,0,448.0100,14.9991,426.3000,471.7000,0.0210,0.0057,0.0100,0.0300,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,447.0500,15.0985,425.5000,470.8000
recordexists-1000tx,10,10000,0,703.7600,39.0330,658.3000,772.2000,0.0320,0.0079,0.0200,0.0400,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,702.3800,38.8581,657.0000,770.4000
register-100tx,10,1000,0,19.7100,2.4597,13.0000,21.5000,1.6820,0.1260,1.6300,2.0400,0.0240,0.0052,0.0200,0.0300,0.2760,0.0640,0.2300,0.4500,19.3400,3.2582,10.3000,21.4000
register-500tx,10,5000,0,132.1400,2.4945,129.6000,137.1000,1.6370,0.0067,1.6300,1.6500,0.0220,0.0042,0.0200,0.0300,0.0950,0.0071,0.0900,0.1100,131.3300,2.5096,128.9000,136.4000
register-1000tx,10,10000,0,216.4000,14.4190,196.5000,245.0000,1.6340,0.0052,1.6300,1.6400,0.0230,0.0048,0.0200,0.0300,0.0890,0.0120,0.0700,0.1100,215.1500,14.2410,195.5000,243.7000
revoke-100tx,10,1000,0,20.3400,2.0189,15.0000,21.7000,1.6780,0.1274,1.6300,2.0400,0.0220,0.0042,0.0200,0.0300,0.2660,0.0610,0.2200,0.4300,19.8700,3.0321,11.5000,21.6000
revoke-500tx,10,5000,0,131.5600,4.8363,121.3000,139.0000,1.6380,0.0063,1.6300,1.6500,0.0210,0.0032,0.0200,0.0300,0.0860,0.0084,0.0800,0.1000,130.8300,4.7640,120.7000,138.3000
revoke-1000tx,10,10000,0,222.4100,13.7243,203.7000,251.1000,1.6390,0.0074,1.6300,1.6500,0.0230,0.0048,0.0200,0.0300,0.0860,0.0084,0.0700,0.1000,221.2000,13.6070,202.7000,249.8000
updatecred-100tx,10,1000,0,20.3900,1.5044,17.5000,22.2000,1.6350,0.0071,1.6300,1.6500,0.0210,0.0032,0.0200,0.0300,0.2620,0.0301,0.2200,0.3100,20.2800,1.4913,17.4000,22.0000
updatecred-500tx,10,5000,0,132.3100,5.1399,125.5000,139.5000,1.6340,0.0070,1.6300,1.6500,0.0200,0.0000,0.0200,0.0200,0.0840,0.0052,0.0800,0.0900,131.6500,5.0621,125.0000,138.7000
updatecred-1000tx,10,10000,0,222.7900,10.6709,197.5000,233.2000,1.6420,0.0132,1.6300,1.6600,0.0210,0.0032,0.0200,0.0300,0.0920,0.0079,0.0800,0.1000,221.5600,10.4713,196.7000,232.0000
verifyproof-100tx,10,1000,0,20.2300,3.1305,12.6000,24.4000,1.6760,0.1246,1.6300,2.0300,0.0200,0.0047,0.0100,0.0300,0.2660,0.0490,0.2100,0.3900,20.0700,3.3022,11.8000,24.2000
verifyproof-500tx,10,5000,0,131.6800,4.9944,122.1000,138.2000,1.6370,0.0106,1.6300,1.6600,0.0200,0.0000,0.0200,0.0200,0.0820,0.0042,0.0800,0.0900,130.9900,4.9298,121.5000,137.3000
verifyproof-1000tx,10,10000,0,222.2600,7.9528,206.7000,232.0000,1.6380,0.0092,1.6300,1.6500,0.0210,0.0032,0.0200,0.0300,0.0870,0.0067,0.0800,0.1000,221.1900,8.0318,205.3000,231.1000
