requests_in_session,scape_cumulative_ms,scape_avg_per_request_ms,xauth_cumulative_ms,ssl_xiomt_cumulative_ms,scheme30_cumulative_ms
1,752.726,752.726,89700.0,6.94,20.690194
2,898.722,449.361,179400.0,13.88,41.380388
3,1044.718,348.2393333333334,269100.0,20.82,62.070582
4,1190.714,297.6785,358800.0,27.76,82.760776
5,1336.71,267.342,448500.0,34.7,103.45097000000001
6,1482.7060000000001,247.11766666666668,538200.0,41.64,124.141164
7,1628.7020000000002,232.67171428571433,627900.0,48.580000000000005,144.83135800000002
8,1774.698,221.83725,717600.0,55.52,165.521552
9,1920.694,213.41044444444444,807300.0,62.46,186.211746
10,2066.69,206.669,897000.0,69.4,206.90194000000002
11,2212.686,201.15327272727274,986700.0,76.34,227.59213400000002
12,2358.6820000000002,196.55683333333334,1076400.0,83.28,248.282328
13,2504.6780000000003,192.6675384615385,1166100.0,90.22,268.972522
14,2650.674,189.33385714285714,1255800.0,97.16000000000001,289.66271600000005
15,2796.67,186.44466666666668,1345500.0,104.10000000000001,310.35291
16,2942.666,183.916625,1435200.0,111.04,331.043104
17,3088.6620000000003,181.686,1524900.0,117.98,351.73329800000005
18,3234.6580000000004,179.70322222222225,1614600.0,124.92,372.423492
19,3380.6540000000005,177.92915789473687,1704300.0,131.86,393.11368600000003
20,3526.65,176.3325,1794000.0,138.8,413.80388000000005
21,3672.646,174.88790476190476,1883700.0,145.74,434.494074
22,3818.6420000000003,173.5746363636364,1973400.0,152.68,455.18426800000003
23,3964.6380000000004,172.3755652173913,2063100.0,159.62,475.87446200000005
24,4110.634,171.27641666666668,2152800.0,166.56,496.564656
25,4256.63,170.2652,2242500.0,173.5,517.25485
26,4402.626,169.33176923076923,2332200.0,180.44,537.945044
27,4548.622,168.46748148148149,2421900.0,187.38000000000002,558.6352380000001
28,4694.618,167.6649285714286,2511600.0,194.32000000000002,579.3254320000001
29,4840.6140000000005,166.91772413793106,2601300.0,201.26000000000002,600.015626
30,4986.61,166.22033333333331,2691000.0,208.20000000000002,620.70582
31,5132.606,165.56793548387097,2780700.0,215.14000000000001,641.396014
32,5278.602,164.9563125,2870400.0,222.08,662.086208
33,5424.598,164.38175757575758,2960100.0,229.02,682.7764020000001
34,5570.594,163.841,3049800.0,235.96,703.4665960000001
35,5716.59,163.33114285714285,3139500.0,242.9,724.1567900000001
36,5862.586,162.84961111111113,3229200.0,249.84,744.846984
37,6008.582,162.39410810810813,3318900.0,256.78000000000003,765.537178
38,6154.578,161.96257894736843,3408600.0,263.72,786.2273720000001
39,6300.574,161.55317948717948,3498300.0,270.66,806.9175660000001
40,6446.57,161.16424999999998,3588000.0,277.6,827.6077600000001
41,6592.566,160.79429268292682,3677700.0,284.54,848.2979540000001
42,6738.562,160.4419523809524,3767400.0,291.48,868.988148
43,6884.558,160.106,3857100.0,298.42,889.678342
44,7030.554,159.78531818181818,3946800.0,305.36,910.3685360000001
45,7176.55,159.4788888888889,4036500.0,312.3,931.0587300000001
46,7322.546,159.18578260869566,4126200.0,319.24,951.7489240000001
47,7468.542,158.9051489361702,4215900.0,326.18,972.4391180000001
48,7614.5380000000005,158.63620833333334,4305600.0,333.12,993.129312
49,7760.534000000001,158.3782448979592,4395300.0,340.06,1013.819506
50,7906.53,158.1306,4485000.0,347.0,1034.5097
